536759.59,7358883.55,144.11
536759.59,7358883.49,145.15
536760.00,7358882.89,144.18
536760.09,7358882.82,145.12
536759.07,7358885.90,146.58
536759.11,7358885.14,146.04
536759.43,7358884.93,147.38
536759.32,7358885.95,148.40
536759.41,7358886.19,149.26
536759.61,7358885.16,148.19
536759.78,7358885.29,149.07
536760.13,7358884.79,149.24
536759.41,7358884.43,146.28
536759.61,7358884.34,146.97
536760.03,7358883.93,147.37
536759.66,7358883.45,146.09
536760.21,7358882.92,146.18
536760.34,7358883.27,147.10
536760.23,7358884.17,148.12
536760.51,7358884.21,149.04
536760.73,7358883.25,147.95
536760.77,7358882.65,146.57
536760.89,7358882.77,147.13
536760.94,7358883.87,149.44
536761.05,7358882.85,148.16
536761.06,7358883.03,149.15
536759.58,7358882.02,136.49
536759.34,7358882.52,137.20
536759.88,7358882.14,137.27
536759.61,7358881.48,136.23
536759.75,7358881.13,136.25
536760.16,7358879.86,135.39
536760.46,7358879.58,135.41
536760.15,7358880.09,136.09
536760.31,7358880.35,137.11
536760.55,7358879.25,135.12
536760.72,7358879.70,136.49
536760.71,7358879.73,137.05
536760.83,7358879.20,136.10
536759.33,7358882.67,137.87
536760.03,7358882.37,138.19
536760.12,7358882.53,139.01
536760.28,7358882.61,139.98
536760.42,7358880.17,138.14
536760.43,7358880.02,138.73
536760.71,7358879.66,137.75
536760.98,7358877.99,135.13
536761.08,7358877.55,134.54
536761.08,7358877.53,134.78
536761.05,7358878.16,135.92
536761.40,7358876.52,137.02
536761.43,7358876.09,134.49
536761.54,7358875.99,135.07
536761.88,7358875.15,134.25
536761.93,7358875.21,135.15
536761.54,7358875.99,136.09
536761.41,7358876.34,137.20
536762.00,7358874.89,136.13
536761.80,7358875.05,137.12
536760.94,7358877.71,138.06
536760.81,7358877.79,139.10
536761.08,7358877.42,138.20
536761.08,7358877.33,139.12
536760.83,7358877.81,140.19
536760.89,7358877.82,141.07
536761.07,7358877.38,139.79
536761.42,7358877.04,141.30
536761.43,7358875.97,138.25
536761.44,7358875.66,139.10
536761.77,7358875.06,138.09
536761.71,7358875.19,139.13
536761.42,7358875.97,140.06
536761.53,7358876.06,141.04
536761.70,7358875.29,140.13
536761.69,7358875.40,140.80
536760.55,7358882.25,142.39
536760.50,7358882.25,143.26
536760.41,7358882.35,144.09
536760.44,7358882.44,145.07
536760.88,7358882.08,145.19
536760.88,7358880.77,144.29
536761.14,7358880.72,145.23
536760.92,7358880.03,143.29
536760.79,7358879.05,142.14
536761.11,7358878.96,143.03
536761.07,7358880.12,144.16
536761.35,7358880.11,145.01
536761.70,7358879.60,145.49
536761.24,7358878.99,143.83
536761.54,7358878.89,144.30
536761.83,7358878.74,145.16
536760.53,7358882.52,145.86
536761.02,7358882.26,146.18
536761.37,7358882.19,147.16
536761.39,7358880.65,145.88
536761.65,7358880.49,146.47
536761.76,7358880.66,147.02
536761.44,7358882.22,148.13
536761.42,7358882.40,149.08
536761.82,7358881.77,148.10
536761.90,7358882.09,149.24
536762.13,7358880.85,148.32
536762.24,7358881.06,149.17
536761.68,7358879.82,146.01
536761.92,7358880.04,146.92
536761.99,7358878.88,146.11
536762.22,7358879.25,147.46
536762.20,7358879.72,147.73
536762.43,7358879.93,149.11
536760.98,7358878.20,141.97
536761.28,7358878.26,142.83
536761.38,7358877.64,142.32
536761.62,7358877.91,143.25
536761.59,7358877.26,142.06
536761.94,7358877.22,143.11
536761.89,7358878.00,144.01
536762.02,7358878.18,144.87
536761.97,7358874.92,142.01
536762.29,7358878.13,146.87
536758.10,7358889.39,150.24
536758.71,7358889.09,151.33
536759.12,7358889.27,151.70
536758.47,7358888.16,150.30
536758.83,7358888.37,150.98
536758.86,7358887.45,150.13
536759.64,7358888.80,152.17
536762.64,7358889.69,152.72
536761.66,7358889.32,152.43
536759.44,7358887.89,151.41
536759.35,7358886.93,150.38
536759.61,7358887.24,151.14
536759.87,7358888.25,152.06
536760.54,7358887.87,152.45
536759.96,7358887.55,151.72
536760.63,7358886.88,152.14
536762.76,7358887.51,152.58
536762.62,7358887.87,152.73
536761.68,7358886.74,152.51
536761.77,7358887.18,152.69
536762.62,7358886.96,152.35
536759.59,7358886.33,150.06
536759.93,7358886.43,150.94
536760.06,7358885.94,150.53
536760.45,7358886.12,151.33
536759.83,7358885.64,149.73
536760.39,7358885.03,150.13
536760.71,7358885.17,150.95
536760.81,7358886.17,151.88
536761.09,7358885.63,151.59
536760.90,7358884.56,150.35
536761.39,7358884.80,151.25
536762.04,7358884.66,151.50
536761.46,7358885.94,152.02
536762.42,7358885.99,152.01
536761.87,7358885.40,151.74
536762.52,7358884.92,151.75
536760.65,7358884.52,149.76
536761.08,7358884.38,150.17
536761.60,7358884.19,150.92
536762.24,7358884.11,151.37
536761.42,7358882.78,150.00
536761.74,7358883.07,150.83
536761.95,7358882.62,150.32
536762.37,7358882.85,151.08
536762.34,7358882.08,150.07
536762.35,7358881.33,149.66
536753.13,7358851.48,149.03
536754.61,7358844.59,149.35
536755.68,7358845.08,149.16
536755.22,7358844.68,149.22
536756.93,7358843.78,148.87
536756.69,7358843.70,148.88
536758.91,7358844.06,147.34
536757.92,7358844.00,148.39
536757.74,7358842.86,148.46
536757.21,7358843.30,148.71
536757.98,7358842.95,148.34
536753.44,7358845.73,149.74
536754.74,7358845.20,149.54
536753.88,7358844.92,149.60
536754.26,7358844.96,149.57
536753.34,7358843.64,149.69
536753.96,7358843.52,149.62
536755.11,7358845.37,149.48
536753.29,7358842.41,149.39
536753.27,7358841.74,149.19
536753.86,7358841.31,149.35
536754.13,7358840.36,149.05
536753.11,7358839.66,149.06
536754.00,7358839.58,148.94
536758.66,7358841.98,147.87
536757.55,7358841.59,148.75
536758.19,7358841.49,148.32
536757.83,7358841.22,148.53
536754.79,7358840.15,149.34
536755.07,7358839.43,149.16
536756.04,7358839.05,149.29
536757.38,7358840.29,148.90
536757.88,7358840.34,148.46
536757.66,7358839.81,148.62
536757.14,7358839.38,149.00
536753.71,7358837.57,148.76
536753.73,7358836.55,148.68
536755.23,7358838.87,149.02
536755.86,7358838.78,149.01
536754.34,7358837.22,148.96
536756.86,7358838.61,149.12
536754.79,7358836.03,149.25
536754.92,7358835.89,149.14
536755.17,7358835.88,149.26
536756.53,7358834.84,149.38
536753.11,7358827.98,138.93
536753.48,7358827.64,138.85
536753.53,7358834.33,148.69
536753.43,7358833.30,148.23
536753.44,7358833.77,148.50
536753.27,7358832.66,147.95
536753.37,7358831.43,147.93
536754.68,7358834.19,149.12
536755.57,7358834.45,149.26
536754.09,7358833.22,148.29
536754.45,7358833.44,148.75
536755.32,7358833.26,149.00
536756.56,7358834.24,149.17
536757.40,7358833.99,149.13
536756.55,7358833.39,148.93
536757.35,7358833.19,148.83
536754.46,7358831.42,147.32
536754.32,7358832.39,148.06
536754.74,7358832.70,148.54
536754.90,7358832.18,148.31
536755.26,7358832.31,148.64
536754.33,7358831.69,147.72
536755.08,7358831.17,148.14
536755.59,7358831.49,148.61
536756.00,7358832.33,149.10
536757.36,7358832.30,148.45
536757.35,7358832.49,148.86
536755.71,7358830.93,148.44
536756.23,7358831.20,148.84
536757.00,7358830.98,148.77
536753.03,7358830.55,147.77
536753.10,7358829.38,147.58
536753.14,7358828.66,147.48
536753.21,7358827.54,147.45
536754.97,7358830.11,147.12
536755.07,7358829.35,147.11
536753.75,7358830.75,147.77
536755.10,7358830.40,147.86
536754.09,7358829.21,147.73
536755.22,7358829.55,147.91
536755.76,7358829.98,148.38
536756.46,7358830.68,148.61
536756.85,7358830.52,148.67
536755.58,7358829.02,148.15
536756.18,7358829.24,148.54
536756.68,7358829.12,148.69
536755.12,7358828.48,147.20
536753.48,7358827.06,147.34
536754.80,7358827.65,147.23
536754.10,7358828.30,147.65
536755.35,7358828.60,147.66
536753.81,7358827.43,147.56
536754.47,7358826.99,147.52
536755.70,7358827.22,146.38
536755.80,7358827.14,147.02
536755.82,7358828.24,148.06
536756.23,7358828.34,148.48
536757.09,7358827.95,148.69
536755.98,7358827.34,147.78
536756.77,7358827.10,148.15
536756.89,7358827.64,148.49
536753.39,7358842.87,149.52
536754.05,7358842.05,149.66
536754.23,7358841.62,149.59
536754.27,7358840.50,149.49
536754.86,7358841.20,149.66
536755.04,7358840.39,149.57
536755.90,7358840.09,149.80
536756.12,7358839.45,149.63
536756.69,7358839.44,149.68
536755.83,7358835.04,149.50
536756.70,7358835.06,149.58
536757.20,7358835.06,149.51
536753.84,7358826.51,139.12
536754.46,7358825.58,139.22
536753.80,7358826.34,139.91
536753.66,7358826.55,140.90
536754.06,7358825.93,140.90
536754.45,7358825.47,139.96
536754.44,7358825.19,140.90
536754.91,7358824.57,139.28
536754.92,7358824.24,140.01
536754.84,7358824.22,141.00
536755.48,7358822.99,139.36
536755.33,7358823.02,139.85
536755.37,7358823.04,140.97
536755.69,7358822.64,139.99
536755.69,7358822.69,140.73
536756.40,7358821.94,140.01
536756.37,7358822.13,140.94
536753.17,7358826.65,142.10
